DateAware,DateSubmitted,DataBreachCause,DateStart,DateEnd,Name,Id,CyberattackType,WashingtoniansAffected,IndustryType,BusinessType,Year,YearText,WashingtoniansAffectedRange,BreachLifecycleRange,DaysToContainBreach,DaysToIdentifyBreach,DaysBreachLifecycle,DiscoveredInProgress,DaysOfExposure,DaysElapsedBetweenEndAndDiscovery,EndedOnDayDiscovered,DaysElapsedBeforeNotification,DaysOfExposureRange
12-07-15 0:00,12/23/2015 12:00:00 AM,Theft or Mistake,11-09-15 0:00,,"Matson Navigation Company, Inc. and Horizon Lines",9602,,2185,Business,Shipping,2016,2016,"1,000-9,999",Unknown,,28,,FALSE,,,FALSE,16,Unknown
12-10-15 0:00,01/13/2016 12:00:00 AM,Unauthorized Access,12-07-15 0:00,12-08-15 0:00,HSBC Bank USA,9604,,5270,Finance,,2016,2016,"1,000-9,999",Jan-99,0,3,3,FALSE,1,2,FALSE,34,Jan-99
11/24/2015 12:00:00 AM,01/14/2016 12:00:00 AM,Cyberattack,08/13/2015 12:00:00 AM,12-08-15 0:00,Hyatt Hotels Corporation,9605,Malware,15,Business,Hospitality,2016,2016,< 500,100-199,14,103,117,TRUE,117,,FALSE,51,100-199
,01/22/2016 12:00:00 AM,Cyberattack,,,Starwood Hotels and Resorts,9607,Malware,,Business,Hospitality,2016,2016,Unknown,Unknown,,,,FALSE,,,FALSE,,Unknown
12-03-15 0:00,01/29/2016 12:00:00 AM,Cyberattack,05-04-14 0:00,12-03-15 0:00,"Landry's, Inc.",9608,Skimmers,,Business,Hospitality,2016,2016,Unknown,500+,0,578,578,TRUE,578,,TRUE,57,500+
,02-04-16 0:00,Unauthorized Access,10-03-15 0:00,12/18/2015 12:00:00 AM,"Gyft, Inc.",9609,,9042,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,FALSE,76,,FALSE,,Jan-99
12/16/2015 12:00:00 AM,02-09-16 0:00,Unauthorized Access,11/15/2013 12:00:00 AM,12/24/2015 12:00:00 AM,Health Care Authority,9610,,91187,Government,,2016,2016,"50,000-999,999",500+,8,761,769,TRUE,769,,FALSE,55,500+
11/13/2015 12:00:00 AM,03-04-16 0:00,Unauthorized Access,10-03-15 0:00,,21st Century Oncology,9611,,2802,Health,,2016,2016,"1,000-9,999",Unknown,,41,,FALSE,,,FALSE,112,Unknown
03-02-16 0:00,03-07-16 0:00,Unauthorized Access,03-02-16 0:00,,Turner Construction Company,9612,,566,Business,Construction,2016,2016,500-999,Unknown,,0,,FALSE,,,FALSE,5,Unknown
,03/14/2016 12:00:00 AM,Cyberattack,12-01-11 0:00,01/26/2016 12:00:00 AM,"Bailey's, Inc.",9613,Malware,8844,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,FALSE,1517,,FALSE,,500+
03-07-16 0:00,03/15/2016 12:00:00 AM,Cyberattack,03-07-16 0:00,03-07-16 0:00,Advance Auto Parts,9614,Phishing,544,Business,Retail,2016,2016,500-999,0,0,0,0,TRUE,0,,TRUE,8,0
,04-11-16 0:00,Cyberattack,01/22/2014 12:00:00 AM,02-08-16 0:00,"Schwaab, Inc.",9615,Malware,2162,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,FALSE,747,,FALSE,,500+
,04/18/2016 12:00:00 AM,Unauthorized Access,03-01-16 0:00,,doTERRA International LLC,9616,,41485,Business,Consumable,2016,2016,"10,000-49,999",Unknown,,,,FALSE,,,FALSE,,Unknown
04-04-16 0:00,04/27/2016 12:00:00 AM,Unauthorized Access,,,AIM Inc.,9617,,1639,Business,Retail,2016,2016,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,23,Unknown
,05-10-16 0:00,Unauthorized Access,,,LendUp Processing Center,9621,,708,Finance,,2016,2016,500-999,Unknown,,,,FALSE,,,FALSE,,Unknown
,05-11-16 0:00,Unauthorized Access,04-12-16 0:00,,Olympia School District,9622,,2145,Government,,2016,2016,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,,Unknown
01/30/2016 12:00:00 AM,06-06-16 0:00,Cyberattack,,01/30/2016 12:00:00 AM,"Empathia, Inc.",9623,Malware,602,Business,Professional Services,2016,2016,500-999,Unknown,0,,,TRUE,,,TRUE,128,Unknown
09/29/2015 12:00:00 AM,06-10-16 0:00,Unauthorized Access,02/19/2014 12:00:00 AM,08-06-15 0:00,Grand Sierra Resort,9625,,1061,Business,Hospitality,2016,2016,"1,000-9,999",500+,0,587,587,FALSE,533,54,FALSE,255,500+
06-01-16 0:00,06/13/2016 12:00:00 AM,Theft or Mistake,05/27/2016 12:00:00 AM,06-01-16 0:00,The Tax Shack,9626,,1000,Finance,,2016,2016,"1,000-9,999",Jan-99,0,5,5,TRUE,5,,TRUE,12,Jan-99
09/17/2014 12:00:00 AM,06/16/2016 12:00:00 AM,Unauthorized Access,05/13/2014 12:00:00 AM,05/13/2014 12:00:00 AM,Uber Technologies,9627,,1355,Business,Transportation,2016,2016,"1,000-9,999",100-199,0,127,127,FALSE,0,127,FALSE,638,0
05/13/2016 12:00:00 AM,06/27/2016 12:00:00 AM,Cyberattack,10/27/2015 12:00:00 AM,03/21/2016 12:00:00 AM,Hard Rock Hotel & Casino Las Vegas,9628,Malware,,Business,Hospitality,2016,2016,Unknown,100-199,0,199,199,FALSE,146,53,FALSE,45,100-199
05/17/2016 12:00:00 AM,06/28/2016 12:00:00 AM,Cyberattack,01/31/2016 12:00:00 AM,06-02-16 0:00,Noodles & Company,9629,Malware,,Business,Hospitality,2016,2016,Unknown,100-199,16,107,123,TRUE,123,,FALSE,42,100-199
05-01-16 0:00,07-06-16 0:00,Cyberattack,12-02-15 0:00,06-08-16 0:00,Wendy's,9630,Malware,,Business,Hospitality,2016,2016,Unknown,100-199,38,151,189,TRUE,189,,FALSE,66,100-199
06-08-16 0:00,07/16/2016 12:00:00 AM,Unauthorized Access,04-01-15 0:00,,"NLU Products, LLC",9632,,2527,Business,Retail,2016,2016,"1,000-9,999",Unknown,,434,,FALSE,,,FALSE,38,Unknown
07/19/2016 12:00:00 AM,07/19/2016 12:00:00 AM,Cyberattack,03-01-16 0:00,07/31/2016 12:00:00 AM,CiCi Enterprises,9633,Malware,,Business,Hospitality,2016,2016,Unknown,100-199,12,140,152,TRUE,152,,FALSE,0,100-199
06-08-16 0:00,07/19/2016 12:00:00 AM,Cyberattack,04/21/2016 12:00:00 AM,06/13/2016 12:00:00 AM,San Antonio Shoemakers,9634,Malware,511,Business,Retail,2016,2016,500-999,Jan-99,5,48,53,TRUE,53,,FALSE,41,Jan-99
07/13/2016 12:00:00 AM,08-03-16 0:00,Cyberattack,06/17/2016 12:00:00 AM,,Banner Health,9635,Malware,7916,Health,,2017,2017,"1,000-9,999",Unknown,,26,,FALSE,,,FALSE,21,Unknown
06/13/2016 12:00:00 AM,08-12-16 0:00,Unauthorized Access,03/30/2016 12:00:00 AM,,"Valley Anesthesiology Consultants, Inc.",9637,,611,Health,,2017,2017,500-999,Unknown,,75,,FALSE,,,FALSE,60,Unknown
07/15/2016 12:00:00 AM,08/18/2016 12:00:00 AM,Cyberattack,01-02-16 0:00,07/17/2016 12:00:00 AM,Eddie Bauer,9638,Malware,73508,Business,Clothing,2017,2017,"50,000-999,999",100-199,2,195,197,TRUE,197,,FALSE,34,100-199
06/30/2016 12:00:00 AM,08/22/2016 12:00:00 AM,Cyberattack,10/21/2015 12:00:00 AM,04-07-16 0:00,KontrolFreek,9639,Malware,625,Business,Other,2017,2017,500-999,200-299,0,253,253,FALSE,169,84,FALSE,53,100-199
08/18/2016 12:00:00 AM,08/30/2016 12:00:00 AM,Unauthorized Access,07/16/2016 12:00:00 AM,08/18/2016 12:00:00 AM,"Presnell Gage, PLLC",9640,,2613,Finance,,2017,2017,"1,000-9,999",Jan-99,0,33,33,TRUE,33,,TRUE,12,Jan-99
07/15/2016 12:00:00 AM,08/31/2016 12:00:00 AM,Cyberattack,02/16/2016 12:00:00 AM,07-07-16 0:00,Kimpton Hotels & Restaurants,9641,Malware,5428,Business,Hospitality,2017,2017,"1,000-9,999",100-199,0,150,150,FALSE,142,8,FALSE,47,100-199
07/22/2016 12:00:00 AM,08/31/2016 12:00:00 AM,Theft or Mistake,04/21/2016 12:00:00 AM,06/13/2016 12:00:00 AM,Highline Medical Center,9642,,12724,Health,,2017,2017,"10,000-49,999",Jan-99,0,92,92,FALSE,53,39,FALSE,40,Jan-99
08/19/2016 12:00:00 AM,09-02-16 0:00,Cyberattack,04/25/2016 12:00:00 AM,,Noble House Hotels,9643,Skimmers,1463,Business,Hospitality,2017,2017,"1,000-9,999",Unknown,,116,,FALSE,,,FALSE,14,Unknown
08/22/2016 12:00:00 AM,09/19/2016 12:00:00 AM,Unauthorized Access,,,ACTIVEOutdoors,9644,,1449645,Government,,2017,2017,"1,000,000+",Unknown,,,,FALSE,,,FALSE,28,Unknown
08/23/2016 12:00:00 AM,09/19/2016 12:00:00 AM,Theft or Mistake,,,"Ascensus, Inc.",9645,,1505,Finance,,2017,2017,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,27,Unknown
09-06-16 0:00,09/23/2016 12:00:00 AM,Theft or Mistake,08/31/2016 12:00:00 AM,09-02-16 0:00,Group Health Cooperative,9646,,651,Health,,2017,2017,500-999,Jan-99,0,6,6,FALSE,2,4,FALSE,17,Jan-99
09-12-16 0:00,09/30/2016 12:00:00 AM,Unauthorized Access,09-12-16 0:00,09-12-16 0:00,Vaupell,9647,,1198,Business,Manufacturing,2017,2017,"1,000-9,999",0,0,0,0,TRUE,0,,TRUE,18,0
09/30/2016 12:00:00 AM,10/19/2016 12:00:00 AM,Cyberattack,05/29/2016 12:00:00 AM,07/22/2016 12:00:00 AM,Eastwood Company,9649,Malware,633,Business,Other,2017,2017,500-999,100-199,0,124,124,FALSE,54,70,FALSE,19,Jan-99
10-07-16 0:00,11-04-16 0:00,Cyberattack,,,Rebecca Minkoff LLC,9650,,549,Business,Retail,2017,2017,500-999,Unknown,,,,FALSE,,,FALSE,28,Unknown
,11-09-16 0:00,Cyberattack,09-07-16 0:00,10/24/2016 12:00:00 AM,Eileen Fisher Inc.,9651,Malware,755,Business,Clothing,2017,2017,500-999,Unknown,,,,FALSE,47,,FALSE,,Jan-99
07/14/2016 12:00:00 AM,11-09-16 0:00,Cyberattack,,,UFCW Local 655 Food Employers Pension Plan,9652,Ransomware,556,Finance,,2017,2017,500-999,Unknown,,,,FALSE,,,FALSE,118,Unknown
03/17/2016 12:00:00 AM,11-11-16 0:00,Cyberattack,,,Charles Schwab,9653,Other,975,Finance,,2017,2017,500-999,Unknown,,,,FALSE,,,FALSE,239,Unknown
11-04-16 0:00,11/18/2016 12:00:00 AM,Cyberattack,10-03-15 0:00,10-09-16 0:00,Springfield Armory,9654,Malware,512,Business,Other,2017,2017,500-999,300-399,0,398,398,FALSE,372,26,FALSE,14,300-399
,11/18/2016 12:00:00 AM,Unauthorized Access,11/13/2016 12:00:00 AM,,Michigan State University,9655,,,Education,,2017,2017,Unknown,Unknown,,,,FALSE,,,FALSE,,Unknown
10/21/2016 12:00:00 AM,11/21/2016 12:00:00 AM,Cyberattack,03-09-16 0:00,10/22/2016 12:00:00 AM,Island Hotel Company Limited,9656,Malware,,Business,Hospitality,2017,2017,Unknown,200-299,1,226,227,TRUE,227,,FALSE,31,200-299
10/27/2016 12:00:00 AM,11/22/2016 12:00:00 AM,Cyberattack,11-09-15 0:00,10/24/2016 12:00:00 AM,The Madison Square Garden Company,9657,Malware,,Business,Entertainment,2017,2017,Unknown,300-399,0,353,353,FALSE,350,3,FALSE,26,300-399
10/18/2016 12:00:00 AM,11/30/2016 12:00:00 AM,Theft or Mistake,10/18/2016 12:00:00 AM,10/18/2016 12:00:00 AM,CHI Franciscan Health- Hospice Tacoma,9658,,1223,Health,,2017,2017,"1,000-9,999",0,0,0,0,TRUE,0,,TRUE,43,0
,12/20/2016 12:00:00 AM,Unauthorized Access,,,Western Union Financial Services,9659,,2470,Finance,,2017,2017,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,,Unknown
11/30/2016 12:00:00 AM,12/21/2016 12:00:00 AM,Unauthorized Access,01/16/2016 12:00:00 AM,,Community Health Plan of Washington,9660,,353388,Health,,2017,2017,"50,000-999,999",Unknown,,319,,FALSE,,,FALSE,21,Unknown
11/28/2016 12:00:00 AM,01-12-17 0:00,Cyberattack,05-02-16 0:00,11/22/2016 12:00:00 AM,"Spiraledge, Inc.",9661,Malware,9700,Business,Retail,2017,2017,"1,000-9,999",200-299,0,210,210,FALSE,204,6,FALSE,45,200-299
12/23/2015 12:00:00 AM,01/18/2017 12:00:00 AM,Cyberattack,,,"CoPilot Provider Support Services, Inc.",9662,Other,1522,Health,,2017,2017,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,392,Unknown
12/23/2016 12:00:00 AM,02-03-17 0:00,Unauthorized Access,11/16/2016 12:00:00 AM,11/16/2016 12:00:00 AM,"Conover Capital Management, LLC and Conover Securities Corporation",9664,,1197,Finance,,2017,2017,"1,000-9,999",Jan-99,0,37,37,FALSE,0,37,FALSE,42,0
01-09-17 0:00,02-08-17 0:00,Unauthorized Access,11/21/2016 12:00:00 AM,11/21/2016 12:00:00 AM,The Boeing Company,9665,,7288,Business,Manufacturing,2017,2017,"1,000-9,999",Jan-99,0,49,49,FALSE,0,49,FALSE,30,0
02-06-17 0:00,02/22/2017 12:00:00 AM,Unauthorized Access,02-03-17 0:00,02-06-17 0:00,"InterMountain Management, LLC",9666,,558,Business,Hospitality,2017,2017,500-999,Jan-99,0,3,3,TRUE,3,,TRUE,16,Jan-99
11/16/2016 12:00:00 AM,02/22/2017 12:00:00 AM,Cyberattack,04/24/2016 12:00:00 AM,12/14/2016 12:00:00 AM,Intex Recreation Corp.,9667,Malware,1547,Business,Manufacturing,2017,2017,"1,000-9,999",200-299,28,206,234,TRUE,234,,FALSE,98,200-299
02-06-17 0:00,02/23/2017 12:00:00 AM,Cyberattack,06-01-13 0:00,12/31/2016 12:00:00 AM,Abbott Nutrition,9668,Malware,1819,Business,Consumable,2017,2017,"1,000-9,999",500+,0,1346,1346,FALSE,1309,37,FALSE,17,500+
02-06-17 0:00,02/24/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,Mrs Prindables,9669,Malware,784,Business,Consumable,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,18,200-299
01-05-17 0:00,02/24/2017 12:00:00 AM,Cyberattack,07/30/2015 12:00:00 AM,12/14/2016 12:00:00 AM,Roberts Hawaii,9671,Malware,1178,Business,Transportation,2017,2017,"1,000-9,999",500+,0,525,525,FALSE,503,22,FALSE,50,500+
01-12-17 0:00,02/24/2017 12:00:00 AM,Theft or Mistake,01-12-17 0:00,,"Pasco Rentals, Inc.",9672,,6300,Business,Other,2017,2017,"1,000-9,999",Unknown,,0,,FALSE,,,FALSE,43,Unknown
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"New England Biolabs, Inc.",9674,Malware,746,Business,Biotech,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,Alpha Industries,9675,Malware,1013,Business,Clothing,2017,2017,"1,000-9,999",300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Nutrex Hawaii, Inc.",9676,Malware,725,Business,Consumable,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Blue Mercury, Inc.",9677,Malware,778,Business,Cosmetic,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Vapour Organic Beauty, LLC",9678,Malware,847,Business,Cosmetic,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Plow and Hearth, LLC",9679,Malware,1274,Business,Home,2017,2017,"1,000-9,999",300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Century, LCC",9680,Malware,639,Business,Retail,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,02/25/2017 12:00:00 AM,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,"Movie Mars, Inc.",9681,Malware,524,Business,Retail,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,19,200-299
02-06-17 0:00,03-06-17 0:00,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,West Music Company,9682,Malware,1495,Business,Retail,2017,2017,"1,000-9,999",300-399,0,346,346,FALSE,283,63,FALSE,28,200-299
02/22/2017 12:00:00 AM,03-07-17 0:00,Unauthorized Access,02/22/2017 12:00:00 AM,02/22/2017 12:00:00 AM,Russell Investments,9683,,1291,Finance,,2017,2017,"1,000-9,999",0,0,0,0,TRUE,0,,TRUE,13,0
02-06-17 0:00,03-08-17 0:00,Cyberattack,12/14/2016 12:00:00 AM,02-06-17 0:00,prAna,9684,Malware,18172,Business,Clothing,2017,2017,"10,000-49,999",Jan-99,0,54,54,TRUE,54,,TRUE,30,Jan-99
02-06-17 0:00,03-08-17 0:00,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,Atlantic Cigar,9685,Malware,803,Business,Retail,2017,2017,500-999,300-399,0,346,346,FALSE,283,63,FALSE,30,200-299
02-06-17 0:00,03-10-17 0:00,Unauthorized Access,02/26/2016 12:00:00 AM,12-05-16 0:00,Bambeco Inc.,9686,,2176,Business,Home,2017,2017,"1,000-9,999",300-399,0,346,346,FALSE,283,63,FALSE,32,200-299
02/13/2017 12:00:00 AM,03/16/2017 12:00:00 AM,Unauthorized Access,02-11-17 0:00,02/13/2017 12:00:00 AM,"Northwest Christian Schools, Inc.",9687,,526,Education,,2017,2017,500-999,Jan-99,0,2,2,TRUE,2,,TRUE,31,Jan-99
02-03-17 0:00,03/17/2017 12:00:00 AM,Cyberattack,10/20/2016 12:00:00 AM,10/20/2016 12:00:00 AM,People for People,9688,Other,821,Non-Profit/Charity,,2017,2017,500-999,100-199,0,106,106,FALSE,0,106,FALSE,42,0
02-10-17 0:00,03/27/2017 12:00:00 AM,Cyberattack,,,"Easy Breathe, Inc.",9689,,2034,Business,Other,2017,2017,"1,000-9,999",Unknown,,,,FALSE,,,FALSE,45,Unknown
02-06-17 0:00,04-04-17 0:00,Cyberattack,02/26/2016 12:00:00 AM,12-05-16 0:00,Tempur-Pedic,9690,Malware,7366,Business,Manufacturing,2017,2017,"1,000-9,999",300-399,0,346,346,FALSE,283,63,FALSE,57,200-299
02-11-17 0:00,04-09-17 0:00,Cyberattack,01/30/2017 12:00:00 AM,01/30/2017 12:00:00 AM,Lake Kennedy McCulluch CPAs PS,9691,Other,1688,Finance,,2017,2017,"1,000-9,999",Jan-99,0,12,12,FALSE,0,12,FALSE,57,0
03/24/2017 12:00:00 AM,04-12-17 0:00,Cyberattack,10-01-16 0:00,01-01-17 0:00,"ILKB, LLC",9692,Other,1140,Business,Fitness,2017,2017,"1,000-9,999",100-199,0,174,174,FALSE,92,82,FALSE,19,Jan-99
,04/14/2017 12:00:00 AM,Cyberattack,09/29/2016 12:00:00 AM,12/29/2016 12:00:00 AM,Six Continents Hotels,9693,Malware,13825,Business,Hospitality,2017,2017,"10,000-49,999",Unknown,,,,FALSE,91,,FALSE,,Jan-99
